"Plot Title: 08_13_2019_Faga'Alu"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)","Intensity, lum/ft² (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)"
123,08/16/19 06:00:00 AM,28.159,0.0
124,08/16/19 06:30:00 AM,28.159,0.0
125,08/16/19 07:00:00 AM,28.159,3.0
126,08/16/19 07:30:00 AM,28.159,4.0
127,08/16/19 08:00:00 AM,28.258,4.0
128,08/16/19 08:30:00 AM,28.159,9.0
129,08/16/19 09:00:00 AM,28.159,8.0
130,08/16/19 09:30:00 AM,28.159,13.0
131,08/16/19 10:00:00 AM,28.159,8.0
132,08/16/19 10:30:00 AM,28.159,13.0
133,08/16/19 11:00:00 AM,28.159,29.0
134,08/16/19 11:30:00 AM,28.159,70.0
135,08/16/19 12:00:00 PM,28.159,91.0
136,08/16/19 12:30:00 PM,28.258,115.0
137,08/16/19 01:00:00 PM,28.357,192.0
138,08/16/19 01:30:00 PM,28.357,256.0
139,08/16/19 02:00:00 PM,28.555,368.0
140,08/16/19 02:30:00 PM,28.655,368.0
141,08/16/19 03:00:00 PM,28.555,248.0
142,08/16/19 03:30:00 PM,28.754,320.0
143,08/16/19 04:00:00 PM,28.853,288.0
144,08/16/19 04:30:00 PM,28.754,168.0
145,08/16/19 05:00:00 PM,28.655,107.0
146,08/16/19 05:30:00 PM,28.555,43.0
147,08/16/19 06:00:00 PM,28.456,29.0
148,08/16/19 06:30:00 PM,28.357,0.0
149,08/16/19 07:00:00 PM,28.357,0.0
150,08/16/19 07:30:00 PM,28.357,0.0
151,08/16/19 08:00:00 PM,28.456,0.0
152,08/16/19 08:30:00 PM,28.357,0.0
153,08/16/19 09:00:00 PM,28.456,0.0
154,08/16/19 09:30:00 PM,28.456,0.0
155,08/16/19 10:00:00 PM,28.357,0.0
156,08/16/19 10:30:00 PM,28.357,0.0
157,08/16/19 11:00:00 PM,28.456,0.0
158,08/16/19 11:30:00 PM,28.456,0.0
159,08/17/19 12:00:00 AM,28.456,0.0
160,08/17/19 12:30:00 AM,28.357,0.0
161,08/17/19 01:00:00 AM,28.357,0.0
162,08/17/19 01:30:00 AM,28.456,0.0
163,08/17/19 02:00:00 AM,28.357,0.0
164,08/17/19 02:30:00 AM,28.357,0.0
165,08/17/19 03:00:00 AM,28.456,0.0
166,08/17/19 03:30:00 AM,28.357,0.0
167,08/17/19 04:00:00 AM,28.456,0.0
168,08/17/19 04:30:00 AM,28.456,0.0
169,08/17/19 05:00:00 AM,28.357,0.0
170,08/17/19 05:30:00 AM,28.357,0.0
